,Posição,Clube,Estado,Faturamento,Deficit ou Superavit,Ano
0,1,Flamengo,Rio de Janeiro,"R$ 950,0 Milhões[1]","R$ 62,9 Milhões[1]",2019
1,2,Palmeiras,São Paulo,"R$ 665,5 Milhões[2]","R$ 1,7 Milhão[2]",2019
2,3,Grêmio,Rio Grande do Sul,"R$ 459,3 Milhões[3]","R$ 8,5 Milhões",2019
3,4,Internacional,Rio Grande do Sul,"R$ 441,0 Milhões[4]",R$ 22 Milhões [4],2019
4,5,Corinthians,São Paulo,"R$ 425,7 Milhões[5]","R$ -177,0 Milhões[5]",2019
5,6,Santos,São Paulo,"R$ 399,8 Milhões[6]","R$ 23,5 Milhões [6]",2019
6,7,São Paulo,São Paulo,"R$ 398,0 Milhões[7]","R$ -159,1 Milhões [7]",2019
8,9,Atlético Mineiro,Minas Gerais,"R$ 342,7 Milhões[9]","R$ -5,8 Milhões[9]",2019
9,10,Cruzeiro,Minas Gerais,"R$ 280,8 Milhões[10]","R$ -394,1 Milhões[10]",2019
10,11,Fluminense,Rio de Janeiro,"R$ 265,2 Milhões[11]","R$ -9,3 Milhões[11]",2019
11,12,Vasco,Rio de Janeiro,"R$ 215,3 Milhões","R$ -5,0 Milhões[12]",2019
12,13,Botafogo,Rio de Janeiro,"R$ 191,3 Milhões[13]","R$ -20,8 Milhões[13]",2019
0,1,Palmeiras,São Paulo,"R$ 688,6 Milhões[18]","R$ 30,7 Milhões[18]",2018
1,2,Flamengo,Rio de Janeiro,"R$ 543,0 Milhões[19]","R$ 45,8 Milhões[20]",2018
2,3,Corinthians,São Paulo,"R$ 466,9 Milhões[21]","R$ -18,7 Milhões[21]",2018
3,4,São Paulo,São Paulo,"R$ 424,5 Milhões[22]","R$ 7,2 Milhões[22]",2018
4,5,Grêmio,Rio Grande do Sul,"R$ 402,0 Milhões[23]","R$ 54,0 Milhões[23]",2018
5,6,Cruzeiro,Minas Gerais,"R$ 386,8 Milhões[24]","R$ -27,2 Milhões[24]",2018
6,7,Fluminense,Rio de Janeiro,"R$ 297,3 Milhões[25]","R$ -1,4 Milhão[25]",2018
7,8,Internacional,Rio Grande do Sul,"R$ 293,2 Milhões[26]","R$ -9,5 Milhões[26]",2018
8,9,Vasco,Rio de Janeiro,"R$ 260,9 Milhões[27]","R$ 64,9 Milhões[27]",2018
9,10,Atlético Mineiro,Minas Gerais,"R$ 257,9 Milhões[28]","R$ -21,8 Milhões[28]",2018
10,11,Santos,São Paulo,"R$ 217,7 Milhões[29]","R$ -77,3 Milhões[29]",2018
12,13,Botafogo,Rio de Janeiro,"R$ 182,9 Milhões[31]","R$ -17,2 Milhões[31]",2018
0,1,Flamengo,Rio de Janeiro,"R$ 648,7 Milhões[39]","R$ 159,1 Milhões[39]",2017
1,2,Palmeiras,São Paulo,"R$ 531,1 Milhões[40]","R$ 57,0 Milhões[40]",2017
2,3,São Paulo,São Paulo,"R$ 472,0 Milhões[41]","R$ 15,1 Milhões[41]",2017
3,4,Corinthians,São Paulo,"R$ 391,2 Milhões[42]","R$ -35,1 Milhões[42]",2017
4,5,Cruzeiro,Minas Gerais,"R$ 344,3 Milhões[43]","R$ 30,5 Milhões[43]",2017
5,6,Grêmio,Rio Grande do Sul,"R$ 341,2 Milhões[44]","R$ 2,7 Milhões[44]",2017
6,7,Atlético Mineiro,Minas Gerais,"R$ 311,3 Milhões[45]","R$ -25,1 Milhões[45]",2017
7,8,Santos,São Paulo,"R$ 287,0 Milhões[46]","R$ 3,4 Milhões[46]",2017
8,9,Botafogo,Rio de Janeiro,"R$ 264,3 Milhões[47]","R$ 53,3 Milhões[47]",2017
9,10,Internacional,Rio Grande do Sul,"R$ 245,9 Milhões[48]","R$ -62,5 Milhões[48]",2017
10,11,Fluminense,Rio de Janeiro,"R$ 229,0 Milhões[49]","R$ -67,8 Milhões[49]",2017
11,12,Vasco,Rio de Janeiro,"R$ 194,9 Milhões[50]","R$ -18,8 Milhões[50]",2017
0,1,Flamengo,Rio de Janeiro,"R$ 510,0 Milhões[59]","R$ 153,4 Milhões[59]",2016
1,2,Palmeiras,São Paulo,"R$ 497,7 Milhões[60]","R$ 89,5 Milhões[60]",2016
2,3,Corinthians,São Paulo,"R$ 485,4 Milhões[61]","R$ 31,0 Milhões[62]",2016
3,4,São Paulo,São Paulo,"R$ 393,3 Milhões[63]","R$ 0,8 Milhão[63]",2016
4,5,Atlético Mineiro,Minas Gerais,"R$ 316,3 Milhões[64]","R$ 2,1 Milhões[64]",2016
5,6,Grêmio,Rio Grande do Sul,"R$ 312,6 Milhões[65]","R$ 35,3 Milhões[65]",2016
6,7,Santos,São Paulo,"R$ 295,8 Milhões[66]","R$ 54,7 Milhões[66]",2016
7,8,Fluminense,Rio de Janeiro,"R$ 293,1 Milhões[67]","R$ 8,3 Milhões[67]",2016
8,9,Internacional,Rio Grande do Sul,"R$ 292,6 Milhões[68]","R$ -11,1 Milhões[68]",2016
9,10,Cruzeiro,Minas Gerais,"R$ 238,3 Milhões[69]","R$ -29,3 Milhões[69]",2016
10,11,Vasco,Rio de Janeiro,"R$ 213,3 Milhões[70]","R$ 11,9 Milhões[70]",2016
12,13,Botafogo,Rio de Janeiro,"R$ 156,2 Milhões[72]","R$ -9,2 Milhões[73]",2016
